nom,age,date,paye,montant,loisir,competences,timestampField,decimalField
Mehdi,64,26-07-2002,no,3284,"['Jeux', 'Football']",Communication,16-07-2021_04:08:04,531.88
John,44,30-05-2020,no,4702,"['Randonnée', 'Football']",Leadership,24-10-2016_15:00:20,309.71
John,22,04-05-2012,yes,6357,"['Parachutisme', 'Football']",Communication,13-04-2020_22:52:51,783.39
Mehdi,80,06-10-2010,no,2121,"['Randonnée', 'Jeux']",Communication,07-07-2014_11:12:24,75.52
John,36,31-03-2017,no,7622,"['Football', 'Parachutisme']",Cooking,17-02-2013_05:08:33,263.3
John,85,28-07-2005,yes,7883,"['Parachutisme', 'Jeux']",Leadership,29-05-2015_16:57:44,503.97
Mehdi,90,22-07-2013,yes,9897,"['Football', 'Jeux']",Communication,21-09-2014_09:21:31,869.43
Emilia,27,29-04-2013,no,345,"['Football', 'Randonnée']",Cooking,02-04-2014_16:23:46,183.61
Emilia,89,23-06-2019,no,1434,"['Jeux', 'Parachutisme']",Cooking,19-02-2015_16:35:09,700.24
Emilia,24,02-09-2013,no,6624,"['Jeux', 'Parachutisme']",Communication,30-10-2021_03:31:58,227.99
Mehdi,65,16-03-2007,yes,4086,"['Randonnée', 'Parachutisme']",Cooking,26-12-2015_23:55:51,324.2
John,58,18-07-2020,yes,9880,"['Jeux', 'Football']",Cooking,08-04-2013_09:33:45,920.75
David,37,13-05-2015,no,5701,"['Jeux', 'Parachutisme']",Communication,06-05-2022_08:51:26,905.32
Karmen,62,20-05-2014,no,3797,"['Parachutisme', 'Randonnée']",Communication,06-06-2014_02:54:45,342.11
Karmen,92,18-11-2005,yes,920,"['Football', 'Jeux']",Communication,16-09-2015_18:31:55,531.88
John,56,18-03-2019,yes,6202,"['Jeux', 'Parachutisme']",Leadership,18-05-2017_19:42:52,816.43
David,59,15-05-2009,no,3083,"['Jeux', 'Football']",Communication,07-11-2015_05:13:43,806.53
Karmen,24,02-12-2019,yes,6241,"['Football', 'Parachutisme']",Cooking,23-04-2022_14:06:43,987.9
David,22,28-02-2008,no,4484,"['Randonnée', 'Jeux']",Communication,30-05-2018_18:04:50,91.82
Karmen,48,06-08-2005,no,2835,"['Randonnée', 'Football']",Communication,20-02-2016_03:26:44,432.6
Karmen,76,12-08-2020,no,5651,"['Jeux', 'Parachutisme']",Cooking,23-12-2018_06:20:55,337.71
Emilia,97,02-11-2007,no,1314,"['Parachutisme', 'Jeux']",Communication,27-02-2019_03:57:31,689.44
David,41,02-06-2016,yes,7879,"['Jeux', 'Football']",Cooking,09-07-2017_15:28:41,61.43
Karmen,54,16-02-2019,yes,7579,"['Football', 'Randonnée']",Cooking,30-01-2016_13:39:23,70.94
Emilia,49,12-02-2012,no,968,"['Randonnée', 'Football']",Leadership,24-06-2015_03:18:55,150.1
John,98,17-11-2016,yes,3030,"['Football', 'Parachutisme']",Communication,18-02-2016_19:36:10,99.89
David,58,30-08-2012,no,5587,"['Jeux', 'Parachutisme']",Communication,06-07-2018_11:48:57,125.32
Emilia,51,10-12-2020,no,7549,"['Randonnée', 'Parachutisme']",Cooking,23-03-2013_22:19:35,940.73
John,71,08-12-2002,no,7077,"['Parachutisme', 'Football']",Cooking,04-05-2022_02:26:33,691.55
Mehdi,93,13-06-2016,yes,831,"['Randonnée', 'Jeux']",Communication,19-09-2019_17:45:31,276.81
John,28,02-06-2005,yes,5891,"['Randonnée', 'Parachutisme']",Communication,03-03-2015_09:42:26,674.32
Emilia,45,27-03-2019,no,6391,"['Parachutisme', 'Football']",Leadership,21-05-2018_23:53:39,289.41
Emilia,70,06-10-2005,no,8974,"['Jeux', 'Randonnée']",Cooking,22-08-2013_14:56:05,617.7
Karmen,20,04-02-2017,no,977,"['Randonnée', 'Football']",Leadership,27-05-2021_20:41:33,592.3
David,62,05-11-2010,no,4996,"['Randonnée', 'Jeux']",Communication,29-12-2015_00:37:10,722.79
Emilia,99,06-01-2003,no,5777,"['Randonnée', 'Jeux']",Cooking,11-12-2018_08:57:20,461.2
Emilia,89,18-05-2017,yes,1103,"['Parachutisme', 'Jeux']",Leadership,19-11-2014_02:13:49,898.41
David,96,11-01-2011,no,2929,"['Randonnée', 'Football']",Leadership,17-06-2014_21:06:50,787.32
Karmen,78,12-11-2012,yes,709,"['Parachutisme', 'Randonnée']",Communication,18-04-2019_09:18:37,608.15
Mehdi,78,26-06-2015,no,7848,"['Jeux', 'Parachutisme']",Leadership,15-03-2014_06:18:26,865.69
Karmen,74,11-04-2018,yes,9803,"['Jeux', 'Football']",Cooking,14-11-2013_06:58:44,733.49
David,98,22-01-2019,no,6402,"['Randonnée', 'Jeux']",Leadership,18-08-2019_09:45:54,804.9
Karmen,95,19-11-2015,no,3693,"['Football', 'Parachutisme']",Cooking,20-07-2014_08:21:05,186.66
David,99,04-02-2005,no,3115,"['Football', 'Parachutisme']",Leadership,29-02-2020_19:19:45,515.52
Karmen,41,25-04-2018,yes,1990,"['Football', 'Randonnée']",Cooking,22-05-2019_11:36:28,122.36
John,64,08-01-2009,no,1382,"['Parachutisme', 'Football']",Cooking,01-08-2021_04:20:53,862.02
Karmen,59,06-10-2004,yes,8886,"['Football', 'Jeux']",Cooking,04-11-2019_10:52:32,15.41
Mehdi,61,16-09-2019,no,4150,"['Jeux', 'Football']",Communication,21-12-2016_09:56:08,112.42
Mehdi,67,13-07-2007,yes,1239,"['Jeux', 'Parachutisme']",Communication,17-12-2017_21:55:42,913.5
Emilia,30,19-03-2006,no,7746,"['Football', 'Jeux']",Communication,16-09-2015_20:22:55,894.02
Mehdi,76,19-12-2006,yes,8251,"['Randonnée', 'Parachutisme']",Leadership,21-12-2016_09:38:00,882.06
Emilia,86,26-07-2004,no,8782,"['Jeux', 'Parachutisme']",Leadership,30-07-2020_21:14:08,324.2
David,83,06-07-2005,no,6358,"['Parachutisme', 'Randonnée']",Communication,06-02-2015_05:42:19,993.67
Emilia,22,05-06-2013,yes,9614,"['Parachutisme', 'Jeux']",Leadership,17-08-2016_17:05:14,841.34
John,26,29-08-2006,yes,9220,"['Parachutisme', 'Jeux']",Cooking,17-07-2020_01:15:18,768.64
John,22,15-06-2017,yes,9870,"['Football', 'Randonnée']",Leadership,01-02-2018_17:04:08,351.44
David,31,24-03-2011,yes,8891,"['Jeux', 'Randonnée']",Cooking,01-02-2021_04:37:21,35.33
Karmen,27,13-11-2012,yes,5031,"['Football', 'Parachutisme']",Leadership,13-05-2017_06:49:14,962.32
David,46,27-06-2009,yes,3443,"['Jeux', 'Parachutisme']",Cooking,17-07-2016_21:05:06,482.57
John,80,14-09-2003,yes,7425,"['Parachutisme', 'Football']",Cooking,07-11-2016_13:14:10,886.74
Karmen,67,14-07-2007,no,6033,"['Parachutisme', 'Jeux']",Leadership,25-11-2018_09:01:55,880.24
John,29,28-08-2015,no,1172,"['Jeux', 'Parachutisme']",Leadership,01-06-2018_01:11:03,194.63
David,42,16-04-2006,yes,9340,"['Parachutisme', 'Jeux']",Cooking,19-10-2019_23:25:32,661.27
Emilia,85,30-03-2008,no,5994,"['Randonnée', 'Jeux']",Leadership,27-05-2018_10:25:58,349.0
John,31,15-10-2004,no,1561,"['Football', 'Randonnée']",Leadership,06-09-2021_13:55:13,99.91
Karmen,79,12-10-2013,no,3092,"['Jeux', 'Football']",Leadership,13-03-2015_06:21:44,561.59
David,27,05-09-2006,no,9790,"['Jeux', 'Randonnée']",Cooking,23-06-2019_20:13:07,372.57
John,71,12-06-2017,no,5291,"['Football', 'Parachutisme']",Leadership,03-05-2022_20:55:18,825.05
Mehdi,97,25-01-2004,no,5659,"['Jeux', 'Randonnée']",Cooking,21-03-2016_23:52:39,448.76
John,88,03-04-2018,no,5153,"['Parachutisme', 'Randonnée']",Communication,25-12-2015_22:36:01,15.54
Mehdi,51,13-08-2004,no,7011,"['Jeux', 'Football']",Cooking,05-07-2013_20:26:37,88.54
John,36,24-06-2006,yes,6507,"['Parachutisme', 'Jeux']",Leadership,11-04-2014_22:45:46,937.87
David,88,11-02-2015,yes,9656,"['Parachutisme', 'Football']",Leadership,17-05-2013_13:10:14,119.63
Mehdi,89,07-12-2017,no,7504,"['Jeux', 'Randonnée']",Cooking,04-07-2017_13:22:07,625.41
Karmen,43,03-02-2006,no,4373,"['Parachutisme', 'Randonnée']",Communication,29-04-2022_22:02:08,588.79
Karmen,91,25-12-2018,no,5337,"['Randonnée', 'Parachutisme']",Communication,23-02-2019_00:54:28,218.99
David,38,03-06-2009,yes,3839,"['Randonnée', 'Jeux']",Leadership,27-06-2016_06:20:21,462.39
Emilia,22,27-04-2013,no,8547,"['Parachutisme', 'Randonnée']",Communication,18-05-2013_15:11:00,861.51
Mehdi,81,20-07-2008,no,2938,"['Jeux', 'Randonnée']",Cooking,24-03-2022_00:29:33,469.93
David,48,20-06-2012,no,9313,"['Parachutisme', 'Jeux']",Communication,04-03-2018_03:04:59,115.82
Mehdi,79,06-05-2011,no,6061,"['Parachutisme', 'Football']",Communication,09-03-2022_01:38:50,932.97
John,53,03-09-2011,no,892,"['Jeux', 'Football']",Cooking,10-09-2015_04:10:51,735.52
Mehdi,39,09-01-2014,no,6952,"['Football', 'Randonnée']",Leadership,22-11-2020_05:45:32,327.28
Karmen,53,05-01-2003,yes,466,"['Parachutisme', 'Randonnée']",Communication,29-05-2019_17:15:38,335.96
Emilia,27,28-03-2017,yes,6399,"['Football', 'Parachutisme']",Cooking,04-03-2014_18:00:31,835.54
Karmen,41,09-10-2007,yes,5478,"['Randonnée', 'Jeux']",Communication,30-07-2021_09:33:01,514.75
Emilia,37,18-09-2015,no,1347,"['Parachutisme', 'Randonnée']",Communication,17-03-2020_08:53:51,583.7
Karmen,77,29-01-2005,no,8275,"['Parachutisme', 'Jeux']",Leadership,22-02-2019_14:45:41,582.95
David,20,11-05-2005,yes,8736,"['Randonnée', 'Parachutisme']",Communication,08-10-2016_10:10:47,747.06
Emilia,77,15-05-2020,yes,5276,"['Football', 'Jeux']",Communication,02-08-2020_05:35:56,330.09
John,38,17-08-2004,yes,4284,"['Randonnée', 'Parachutisme']",Communication,21-10-2019_15:58:03,125.32
Karmen,43,21-11-2006,yes,2771,"['Football', 'Jeux']",Communication,15-07-2018_05:16:42,972.1
Mehdi,50,26-10-2016,yes,5619,"['Parachutisme', 'Football']",Cooking,14-07-2021_04:19:50,532.94
Emilia,61,20-08-2016,yes,6913,"['Football', 'Jeux']",Communication,09-10-2020_14:01:10,188.83
David,93,21-03-2015,yes,2261,"['Randonnée', 'Jeux']",Cooking,06-02-2019_08:23:16,655.5
Emilia,61,01-10-2015,no,6065,"['Football', 'Randonnée']",Cooking,28-12-2013_12:27:16,225.82
John,43,15-02-2015,no,5371,"['Jeux', 'Randonnée']",Communication,04-02-2020_12:08:51,540.9
John,98,02-05-2012,yes,3145,"['Randonnée', 'Jeux']",Leadership,22-12-2013_04:13:15,859.21
Karmen,95,11-07-2017,yes,341,"['Football', 'Jeux']",Leadership,16-10-2013_02:03:10,63.07
Karmen,97,11-09-2009,no,309,"['Randonnée', 'Parachutisme']",Cooking,12-12-2020_22:43:25,287.9
Karmen,20,10-09-2010,yes,124,"['Parachutisme', 'Randonnée']",Leadership,02-01-2022_07:14:06,198.64
John,69,15-03-2006,yes,3186,"['Randonnée', 'Jeux']",Leadership,08-03-2013_22:04:57,404.43
Mehdi,43,01-01-2004,yes,9247,"['Randonnée', 'Parachutisme']",Cooking,26-10-2015_02:51:58,536.45
Karmen,43,17-04-2020,no,9001,"['Parachutisme', 'Football']",Communication,29-09-2019_17:57:37,449.22
John,84,15-01-2011,yes,9426,"['Randonnée', 'Football']",Communication,23-09-2015_00:24:25,456.21
Mehdi,46,28-08-2008,yes,3504,"['Jeux', 'Football']",Communication,22-10-2015_07:58:27,892.12
David,57,16-12-2006,no,1906,"['Football', 'Randonnée']",Communication,26-06-2019_02:17:46,681.83
David,66,20-01-2013,no,298,"['Football', 'Jeux']",Leadership,01-01-2020_00:43:33,68.08
David,100,03-03-2018,no,143,"['Randonnée', 'Parachutisme']",Cooking,05-03-2020_04:55:05,87.98
John,46,29-06-2007,no,736,"['Football', 'Parachutisme']",Cooking,12-04-2022_06:00:29,392.85
Karmen,86,10-08-2011,yes,118,"['Football', 'Jeux']",Leadership,06-02-2014_23:56:13,369.76
Karmen,68,07-06-2020,no,3740,"['Jeux', 'Football']",Leadership,23-05-2017_17:05:44,580.74
John,43,03-05-2016,yes,933,"['Randonnée', 'Jeux']",Leadership,03-10-2018_14:23:21,783.55
Karmen,79,07-03-2010,no,6832,"['Football', 'Parachutisme']",Leadership,22-07-2018_12:58:11,561.44
Emilia,72,03-02-2019,yes,5260,"['Parachutisme', 'Randonnée']",Cooking,02-09-2019_23:14:51,657.24
Mehdi,68,08-02-2005,no,3810,"['Parachutisme', 'Jeux']",Communication,16-06-2022_15:55:00,905.19
John,60,27-06-2008,no,3605,"['Randonnée', 'Football']",Leadership,22-06-2022_20:09:41,818.57
John,88,25-05-2019,yes,6877,"['Jeux', 'Parachutisme']",Cooking,28-05-2019_07:48:20,215.79
David,74,22-09-2009,no,7175,"['Jeux', 'Randonnée']",Communication,17-10-2021_03:19:55,222.64
Mehdi,26,02-10-2012,yes,1600,"['Parachutisme', 'Randonnée']",Leadership,11-10-2017_02:10:12,133.79
Karmen,76,14-10-2019,yes,7793,"['Parachutisme', 'Jeux']",Leadership,30-03-2014_16:59:06,629.89
John,42,02-11-2019,yes,4678,"['Parachutisme', 'Randonnée']",Communication,06-08-2016_01:33:42,694.85
Karmen,53,18-07-2017,yes,700,"['Randonnée', 'Football']",Cooking,28-08-2019_11:07:44,899.63
Emilia,85,26-04-2008,no,8113,"['Jeux', 'Parachutisme']",Cooking,02-03-2019_01:14:37,25.28
John,93,26-11-2006,yes,3815,"['Jeux', 'Parachutisme']",Cooking,10-12-2019_00:33:35,239.26
Mehdi,41,17-10-2002,yes,1744,"['Jeux', 'Randonnée']",Cooking,22-12-2016_04:44:04,684.87
Karmen,70,07-05-2013,yes,2724,"['Randonnée', 'Parachutisme']",Cooking,28-11-2021_01:13:42,454.8
Emilia,33,16-12-2002,yes,1866,"['Football', 'Jeux']",Cooking,26-02-2017_15:13:15,295.15
Karmen,74,01-11-2010,yes,8602,"['Parachutisme', 'Randonnée']",Cooking,15-08-2013_01:19:25,863.4
