id,nom,age,montant,date,timestampfield
10,aicha,344141,59.341240189584255,01-01-1970,01-01-1970_00:33:21
11,mehdi,253028,73.70530599044586,01-01-1970,01-01-1970_00:33:22
12,mouaad,326187,71.73672339041617,01-01-1970,01-01-1970_00:33:21
13,mehdi,170191,88.32010785411153,01-01-1970,01-01-1970_00:33:22
14,mouaad,255087,39.095904171201454,01-01-1970,01-01-1970_00:33:22
15,aicha,111374,31.358972990517774,01-01-1970,01-01-1970_00:33:22
16,mouaad,111246,92.73303203224113,01-01-1970,01-01-1970_00:33:21
17,mehdi,62822,92.99139596046994,01-01-1970,01-01-1970_00:33:22
18,mouaad,46917,19.823492703762714,01-01-1970,01-01-1970_00:33:21
19,mehdi,336893,64.88233557425514,01-01-1970,01-01-1970_00:33:22
20,mouaad,125982,65.86038062869825,01-01-1970,01-01-1970_00:33:21
21,aicha,281096,40.85018154669905,01-01-1970,01-01-1970_00:33:22
22,mehdi,241481,28.625919982000138,01-01-1970,01-01-1970_00:33:21
23,mouaad,118207,95.23053219307522,01-01-1970,01-01-1970_00:33:21
24,mehdi,283122,100.16176132568503,01-01-1970,01-01-1970_00:33:21
